,name,price,img
104,"2020 Apple Mac Mini (Apple M1 chip with 8‑core CPU and 8‑core GPU, 8GB RAM, 256GB SSD) -Silver","61,990",https://m.media-amazon.com/images/I/71pcTYT+ICL._AC_UY218_.jpg
105,Apple Leather Sleeve with MagSafe (for iPhone 12 Mini) - (Product) RED,"4,345",https://m.media-amazon.com/images/I/71tN6ylWBkL._AC_UY218_.jpg
106,Apple 165-AZ Battery for Car.,"9,500",https://m.media-amazon.com/images/I/71OURG+fxEL._AC_UY218_.jpg
107,New Apple iPhone 12 Pro (128GB) - Gold,"97,900",https://m.media-amazon.com/images/I/71cSV-RTBSL._AC_UY218_.jpg
108,Apple Silicone Case with MagSafe (for iPhone 12 Pro Max) - Black,"4,900",https://m.media-amazon.com/images/I/617K2NwVHML._AC_UY218_.jpg
109,Apple Lightning to 3.5mm Audio Cable (1.2m) - White,"2,372",https://m.media-amazon.com/images/I/61Ski0jm1nL._AC_UY218_.jpg
110,"Apple Silicone Case with MagSafe (for iPhone 12, 12 Pro) - Capri Blue","4,900",https://m.media-amazon.com/images/I/51JSF1bUptS._AC_UY218_.jpg
111,Apple Tree Glass Bangles set Studded with Stones and Zircon (Set of 24 bangles) 17 colors,459,https://m.media-amazon.com/images/I/81oLsXupo3L._AC_UY218_.jpg
112,Apple Leather Case with MagSafe (for iPhone 13 Pro) - Sequoia Green,"5,500",https://m.media-amazon.com/images/I/81w1rSudgOL._AC_UY218_.jpg
113,"2021 Apple iPad Pro with Apple M1 chip (11-inch/27.96 cm, Wi-Fi + Cellular, 256GB) - Space Grey (3rd Generation)","91,900",https://m.media-amazon.com/images/I/81a-rN2A3DS._AC_UY218_.jpg
114,"Apple iMac (21.5-inch/54.61 cm, 8GB RAM, 2.3GHz Dual-core 7th-Generation Intel Core i5 Processor, 256GB SSD Storage) - Silver","93,990",https://m.media-amazon.com/images/I/81XI2xLLjYL._AC_UY218_.jpg
115,Apple iPod Touch (32GB) - Space Grey (Latest Model),"19,600",https://m.media-amazon.com/images/I/61uVbebKlGL._AC_UY218_.jpg
